text,type,cx,cy,x1,y1,x2,y2,width,height
T,BLOCK_TYPE,1980.4,1254.0,1969.0,1233.1,1991.9,1274.9,22.9,41.8
T,BLOCK_TYPE,3340.4,1254.0,3329.0,1233.1,3351.9,1274.9,22.9,41.8
"Algorithm point			OCB008800D

Analog Value of Output			0",OTHER,505.0,1255.0,496.0,1246.0,514.0,1264.0,18.0,18.0
"Algorithm point			OCB0088008

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				12
Input YES Bias				0
Input NO Gain				1
Input NO Bias				0
Output Top of Scale			1200
Output Bottom of Scale			0",OTHER,965.0,1255.0,956.0,1246.0,974.0,1264.0,18.0,18.0
"Algorithm point			OCB008801C

Analog Value of Output			0",OTHER,1545.0,1255.0,1536.0,1246.0,1554.0,1264.0,18.0,18.0
"Algorithm point			OCB008801A

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				12
Input YES Bias				0
Input NO Gain				1
Input NO Bias				0
Output Top of Scale			1200
Output Bottom of Scale			0",OTHER,1985.0,1255.0,1976.0,1246.0,1994.0,1264.0,18.0,18.0
"Algorithm point			OCB008802A

Analog Value of Output			0",OTHER,2565.0,1255.0,2556.0,1246.0,2574.0,1264.0,18.0,18.0
"Algorithm point			OCB0088005

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				1
Input YES Bias				0
Input NO Gain				12
Input NO Bias				0
Output Top of Scale			1200
Output Bottom of Scale			0",OTHER,3345.0,1255.0,3336.0,1246.0,3354.0,1264.0,18.0,18.0
HISP=14.8,OTHER,5160.7,1271.3,5100.0,1257.4,5221.5,1285.3,121.5,27.9
H,BLOCK_TYPE,4997.0,1274.3,4988.0,1260.4,5006.0,1288.3,18.0,27.9
"Algorithm point			OCB008804E

High Setpoint				14.8
High Setpoint Deadband			0",OTHER,5024.5,1274.5,5015.5,1265.5,5033.5,1283.5,18.0,18.0
OCB0088043,OCB_BLOCK,4765.7,1278.3,4690.0,1264.4,4841.4,1292.3,151.4,27.9
OUT,PORT,4670.8,1284.2,4662.4,1268.4,4679.2,1300.0,16.7,31.6
OCB008800D,OCB_BLOCK,627.8,1290.3,550.0,1276.4,705.6,1304.3,155.6,27.9
OCB008801C,OCB_BLOCK,1667.8,1290.3,1590.0,1276.4,1745.6,1304.3,155.6,27.9
OCB008802A,OCB_BLOCK,2687.1,1290.3,2610.0,1276.4,2764.2,1304.3,154.2,27.9
DESC: No,OTHER,3632.4,1303.5,3569.0,1288.1,3695.7,1318.8,126.7,30.7
OCB0088005,OCB_BLOCK,3425.7,1318.3,3350.0,1304.4,3501.4,1332.3,151.4,27.9
OCB0088008,OCB_BLOCK,1045.7,1320.3,970.0,1306.4,1121.4,1334.3,151.4,27.9
OCB008801A,OCB_BLOCK,2067.1,1320.3,1990.0,1306.4,2144.2,1334.3,154.2,27.9
OUT,PORT,950.8,1324.2,942.4,1308.4,959.2,1340.0,16.7,31.6
OUT,PORT,1970.8,1324.2,1962.4,1308.4,1979.2,1340.0,16.7,31.6
OUT,PORT,3330.8,1324.2,3322.4,1308.4,3339.2,1340.0,16.7,31.6
OUT,PORT,5010.8,1324.2,5002.4,1308.4,5019.2,1340.0,16.7,31.6
OCB008804E,OCB_BLOCK,5107.1,1325.3,5030.0,1311.4,5184.2,1339.3,154.2,27.9
D03-064-01,REF_SIGNAL,4079.0,1328.3,4013.0,1314.4,4145.0,1342.3,132.0,27.9
IN1,SIGNAL,4415.7,1330.8,4404.0,1322.4,4427.3,1339.2,23.3,16.7
Description Defined,OTHER,3688.9,1339.5,3569.0,1324.1,3808.9,1354.8,239.9,30.7
OUT,PORT,4539.8,1370.8,4524.0,1362.4,4555.6,1379.2,31.6,16.7
3/064,SHEET_REF,4004.4,1372.5,3970.0,1357.1,4038.8,1387.8,68.8,30.7
OR,BLOCK_TYPE,4479.7,1374.3,4461.0,1360.4,4498.5,1388.3,37.5,27.9
OR:051,OTHER,4484.0,1374.5,4475.0,1365.5,4493.0,1383.5,18.0,18.0
(D03-064-01),OTHER,3650.8,1375.5,3569.0,1360.1,3732.5,1390.8,163.5,30.7
A,PORT,446.4,1393.2,436.0,1375.7,456.8,1410.6,20.8,34.9
DH CIRC' PP,OTHER,231.0,1401.5,149.0,1386.1,313.0,1416.8,164.0,30.7
DESC: No,OTHER,3632.4,1403.5,3569.0,1388.1,3695.7,1418.8,126.7,30.7
D03-522-02,REF_SIGNAL,659.0,1408.3,593.0,1394.4,725.0,1422.3,132.0,27.9
IN2,SIGNAL,4413.7,1410.8,4402.0,1402.4,4425.3,1419.2,23.3,16.7
G,PORT,444.1,1435.2,432.0,1417.7,456.3,1452.6,24.3,34.9
DISCH PR H,OTHER,228.4,1437.5,149.0,1422.1,307.8,1452.8,158.8,30.7
Description Defined,OTHER,3688.9,1439.5,3569.0,1424.1,3808.9,1454.8,239.9,30.7
FLAG,PORT,4621.5,1449.2,4601.8,1429.4,4641.3,1468.9,39.5,39.5
3/522,SHEET_REF,584.4,1452.5,550.0,1437.1,618.8,1467.8,68.8,30.7
