type,x1,y1,x2,y2,color,width
line,4500.0,2080.0,4500.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,4500.0,2240.0,4700.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,3850.0,1200.0,3880.0,1200.0,"(0.0, 0.0, 0.0)",3.0
line,4240.0,1880.0,4240.0,1900.0,"(0.0, 0.0, 0.0)",3.0
line,4240.0,1900.0,4240.0,1980.0,"(0.0, 0.0, 0.0)",3.0
line,4240.0,1980.0,4640.0,1980.0,"(0.0, 0.0, 0.0)",3.0
line,4640.0,1980.0,4640.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,4240.0,1770.0,4240.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,4200.0,1880.0,4280.0,1880.0,"(0.0, 0.0, 0.0)",3.0
line,4280.0,1800.0,4200.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,4280.0,1880.0,4280.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,4200.0,1800.0,4200.0,1880.0,"(0.0, 0.0, 0.0)",3.0
line,4080.0,2320.0,4100.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,4100.0,2320.0,4440.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,3970.0,2320.0,4000.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,4080.0,2220.0,4100.0,2220.0,"(0.0, 0.0, 0.0)",3.0
line,4100.0,2220.0,4340.0,2220.0,"(0.0, 0.0, 0.0)",3.0
line,4340.0,2220.0,4340.0,2300.0,"(0.0, 0.0, 0.0)",3.0
line,4340.0,2300.0,4440.0,2300.0,"(0.0, 0.0, 0.0)",3.0
line,3970.0,2220.0,4000.0,2220.0,"(0.0, 0.0, 0.0)",3.0
line,1500.0,2160.0,1520.0,2160.0,"(0.0, 0.0, 0.0)",3.0
line,1520.0,2160.0,1600.0,2160.0,"(0.0, 0.0, 0.0)",3.0
line,1600.0,2160.0,1600.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,1600.0,2320.0,1720.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,1390.0,2160.0,1420.0,2160.0,"(0.0, 0.0, 0.0)",3.0
line,1500.0,2060.0,1520.0,2060.0,"(0.0, 0.0, 0.0)",3.0
line,1520.0,2060.0,1620.0,2060.0,"(0.0, 0.0, 0.0)",3.0
line,1620.0,2060.0,1620.0,2300.0,"(0.0, 0.0, 0.0)",3.0
line,1620.0,2300.0,1720.0,2300.0,"(0.0, 0.0, 0.0)",3.0
line,1390.0,2060.0,1420.0,2060.0,"(0.0, 0.0, 0.0)",3.0
line,1500.0,1960.0,1520.0,1960.0,"(0.0, 0.0, 0.0)",3.0
line,1520.0,1960.0,1640.0,1960.0,"(0.0, 0.0, 0.0)",3.0
line,1640.0,1960.0,1640.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,1640.0,1800.0,1940.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,1640.0,1960.0,1640.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,1640.0,2200.0,1760.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,1390.0,1960.0,1420.0,1960.0,"(0.0, 0.0, 0.0)",3.0
line,1680.0,1760.0,1680.0,1780.0,"(0.0, 0.0, 0.0)",3.0
line,1680.0,1780.0,1680.0,1960.0,"(0.0, 0.0, 0.0)",3.0
